PID,condition,n_assistant_turns,assistant_words,mean_words_per_turn,n_user_turns,user_words,n_questions,type_token_ratio,fk_grade,first_sg_p100,first_pl_p100,second_person_p100,affect_p100,ack_warm_p100,hedge_p100,emotion_q_p100,personalisation_p100,patient_echo_rate,passive_p100,ack_procedural_p100,directive_p100,technical_p100,session_minutes,n_order_anomalies,PC_index,TC_index,style_index
002,Patient-Centred,12,314,26.166666666666668,11,43,11,0.5031847133757962,4.457975765107971,2.5477707006369426,4.140127388535032,6.369426751592357,4.777070063694268,1.2738853503184713,1.910828025477707,1.910828025477707,0.9554140127388535,0.03508771929824561,0.6369426751592356,0.3184713375796178,0.3184713375796178,5.414012738853503,9.013480383333333,1,1.14327632296165,-0.5003462225805819,1.643622545542232
003,Task-Centred,10,224,22.4,9,22,9,0.5580357142857143,8.366911764705886,0.44642857142857145,0.44642857142857145,2.232142857142857,1.3392857142857142,0.0,0.0,0.0,0.44642857142857145,0.0,2.6785714285714284,6.25,0.0,11.607142857142858,7.9040585000000005,0,-1.1886667048669495,0.8967034621396134,-2.085370167006563
005,Patient-Centred,16,428,26.75,19,160,14,0.47897196261682246,4.763172280021163,2.336448598130841,3.7383177570093458,4.906542056074766,3.97196261682243,1.8691588785046729,1.1682242990654206,2.336448598130841,0.7009345794392523,0.08558558558558559,0.4672897196261682,0.4672897196261682,0.0,3.5046728971962615,9.982399216666666,2,0.9130233849523177,-1.090833230081419,2.0038566150337367
6,Task-Centred,17,402,23.647058823529413,15,51,15,0.38308457711442784,8.073038035628311,2.2388059701492535,0.4975124378109453,2.736318407960199,1.7412935323383085,0.0,0.24875621890547264,0.0,0.4975124378109453,0.025423728813559324,2.985074626865672,5.472636815920398,0.24875621890547264,12.935323383084578,10.045918866666666,0,-0.8724285875192043,1.314729363720495,-2.1871579512396995
008,Patient-Centred,17,402,23.647058823529413,17,55,15,0.5199004975124378,3.8628109452736332,3.482587064676617,3.2338308457711444,6.7164179104477615,5.970149253731344,1.7412935323383085,2.487562189054726,2.2388059701492535,1.492537313432836,0.04784688995215311,0.24875621890547264,0.24875621890547264,0.0,2.985074626865672,9.162229116666667,0,1.589538764764565,-1.220111326611621,2.809650091376186
009,Task-Centred,18,527,29.27777777777778,15,35,15,0.3415559772296015,7.505949557242253,3.225806451612903,0.7590132827324478,3.795066413662239,0.9487666034155597,0.18975332068311196,0.5692599620493358,0.18975332068311196,0.18975332068311196,0.025396825396825397,1.7077798861480076,4.933586337760911,0.5692599620493358,11.195445920303605,9.587201783333335,0,-0.6640586324331708,1.1006250444325945,-1.7646836768657652
011,Patient-Centred,11,202,18.363636363636363,9,21,10,0.6287128712871287,5.3522942983953605,3.4653465346534653,2.4752475247524752,9.405940594059405,6.930693069306931,2.4752475247524752,0.49504950495049505,1.4851485148514851,1.4851485148514851,0.06481481481481481,0.49504950495049505,0.49504950495049505,0.0,5.445544554455446,7.73257365,0,1.4234540044791681,-0.803980356402117,2.227434360881285
012,Task-Centred,16,327,20.4375,16,124,11,0.5443425076452599,7.596293577981655,2.140672782874618,0.6116207951070336,1.834862385321101,0.3058103975535168,0.0,0.0,0.0,0.3058103975535168,0.07253886010362694,1.529051987767584,4.892966360856269,0.3058103975535168,7.033639143730887,12.033154066666667,0,-1.120592429352826,0.22069211862746824,-1.3412845479802942
014,Patient-Centred,14,241,17.214285714285715,12,26,11,0.5975103734439834,4.745314661134163,3.319502074688797,2.4896265560165975,8.298755186721992,6.224066390041494,0.8298755186721992,1.2448132780082988,2.904564315352697,1.6597510373443984,0.038461538461538464,0.4149377593360996,0.0,0.4149377593360996,4.979253112033195,8.3349328,0,1.404101321199189,-0.5355860299032857,1.9396873511024748
015,Task-Centred,18,327,18.166666666666668,17,91,15,0.4923547400611621,6.654847094801227,3.669724770642202,0.3058103975535168,4.587155963302752,2.4464831804281344,0.3058103975535168,0.0,0.0,0.9174311926605505,0.05,2.140672782874618,5.504587155963303,0.6116207951070336,7.339449541284404,9.805669033333334,0,-0.443034137904431,0.701957456464529,-1.14499159436896
017,Patient-Centred,19,424,22.31578947368421,20,137,17,0.5047169811320755,6.013467462456681,4.009433962264151,1.650943396226415,7.311320754716981,4.009433962264151,1.650943396226415,1.8867924528301887,1.179245283018868,1.179245283018868,0.1306122448979592,0.2358490566037736,0.4716981132075472,0.0,4.481132075471698,12.986966933333333,0,0.926024133838437,-0.9897599761458039,1.9157841099842408
018,Task-Centred,18,348,19.333333333333332,17,67,13,0.4885057471264368,7.636091954022991,2.2988505747126435,0.28735632183908044,2.586206896551724,2.586206896551724,0.0,0.0,0.0,0.28735632183908044,0.023255813953488372,2.0114942528735633,4.885057471264368,0.0,10.632183908045977,9.550104033333334,0,-0.9343684371539069,0.5376508204572319,-1.4720192576111388
